CS_COMPANY_ID|BUSINESS_NAME|COMPANY_REGISTRATION_NUMBER|ADDRESS1|ADDRESS2|ADDRESS3|ADDRESS4|ADDRESS5|ADDRESS_TYPE
BE00000098|PROVINCIALE BRABANCONNE D'ENERGIE|203563111|DIESTSESTEENWEG|126||3210|LUBBEEK|1
BE00002854|GEMEENTE MACHELEN (BRAB.)|207539121|WOLUWESTRAAT|1||1830|MACHELEN (BRAB.)|1
BE00004302|FABRIQUE D'EGLISE À SAINT LÉGER  ( WL -  ESTAIMPUIS ) ETSPUBLI|211252637|GRAND PLACE|2||7730|ESTAIMPUIS|1
BE00006087|FABRIQUE D'EGLISE SAINT-HUBERT À LAVOIR (WL - HÉRON) ETSPUBLI|211431492|RUE VIA|6||4218|HÉRON|1
BE00010621|OFFICE WALLON DE LA FORMATION PROFESSIONNELLE ET DE L'EMPLOI ETSPUBLI|236363165|BOULEVARD JOSEPH TIROU|104||6000|CHARLEROI|1
BE00011261|SCHOLENGROEP 10 : SCOOP AV|267378421|DE BAVAYLEI|134||1800|VILVOORDE|1
BE00011766|VDK BANK NV|400067788|SINT-MICHIELSPLEIN|16||9000|GENT|1
BE00011978|DE VREESE-VAN LOO NV|400140539|SPIEVELDSTRAAT|15||9160|LOKEREN|1
BE00012572|VONDELMOLEN NV|400335925|DENDERMONDSESTEENWEG|208||9280|LEBBEKE|1
BE00012620|CREDIT SOCIAL DE LA PROVINCE DU BRABANT WALLON SA|400351068|AVENUE DE BURLET|1||1400|NIVELLES|1
BE00012829|ETABLISSEMENTS ROBERT BELLIÈRE ET COMPAGNIE NV|400414515|QUAI DU COMMERCE|48||1000|BRUXELLES|1
BE00012937|LA TECHNIQUE RATIONNELLE MODERNE SA|400446583|BD 2ME ARMÉE BRITANNIQUE|93||1190|FOREST|1
BE00013139|EVETRA SA|400517156|AVENUE ADOLPHE BUYL|90||1050|IXELLES|1
BE00013739|LA CHAUMIÈRE BVBA|400719965|RUE ALEXIS WILLEM|30||1160|AUDERGHEM|1
BE00015028|MAISON QUEVY SA|401124692|RUE GRANDE|62||7330|SAINT-GHISLAIN|1
BE00015438|GRIMONPREZ TRANSMISSION GEARS SA|401241884|RUE THEODOR KLÜBER|7||7711|MOUSCRON|1
BE00015481|ARTMANA BV|401257722|VIJVERSWEG|27||1640|SINT-GENESIUS-RODE|1
BE00015813|BROUWERIJ CORNELISSEN BV|401349871|ITTERPLEIN|27||3960|BREE|1
BE00016088|OEUVRES PAROISSIALES DE COUTHUIN-HERON-BURDINNE ASBL|401433213|RUE DU DOCTEUR BEAUJEAN|6||4218|HÉRON|1
BE00016401|COMPTOIR COMMERCIAL ET DE GESTION SA|401525857|RUE DE FER|49||5000|NAMUR|1
BE00016500|CELADON SA|401557531|ZONING DE JUMET,4ÈME RUE|33||6040|CHARLEROI|1
BE00016754|BUILDING SA|401632260|CHAUSSÉE DE BRUXELLES|122||6040|CHARLEROI|1
BE00016845|LA MAISON LIBÉRALE SCRL|401660667|RUE EMILE TUMELAIRE|23||6000|CHARLEROI|1
BE00017664|FESIAL SA|401889113|AVENUE LAVOISIER|5||1300|WAVRE|1
BE00017665|FESTO BELGIUM NV|401889212|LEUVENSESTEENWEG|248J||1800|VILVOORDE|1
BE00018920|PIDE NV|402095781|AVENUE DE L'HIPPODROME|28||1050|IXELLES|1
BE00019294|ANCIENS ETABLISSEMENTS L. DEGEORGE SA|402146162|AVENUE DE L'AULNE|21||1180|UCCLE|1
BE00019483|DELHAIZE LE LION/DE LEEUW SA|402206045|BRUSSELSESTEENWEG|347||1730|ASSE|1
BE00020089|DALEM NV|402389652|INDUSTRIESTRASSE|12||4700|EUPEN|1
BE00021500|RAVICO SA|402823875|SCHEERSMOLENDREEF|34||1840|LONDERZEEL|1
BE00021523|UNIBRA SA|402833179|BOULEVARD DU SOUVERAIN|25||1170|WATERMAEL-BOITSFORT|1
BE00022116|LEGO BELGIUM NV|403020350|RUITERIJSCHOOL|5||2930|BRASSCHAAT|1
BE00022295|SYNDIC THIBAUX SRL|403073996|RUE DE MARTINSART|36||6470|SIVRY-RANCE|1
BE00022619|FIDUCRE NV|403173372|AVENUE MARNIX|24||1000|BRUXELLES|1
BE00023883|AVEVE BV|403552464|AARSCHOTSESTEENWEG|84||3012|LEUVEN|1
BE00024730|BELGIAN PROJECTS COMPANY NV|403784967|VERENIGDE NATIESSTRAAT|2||9320|AALST|1
BE00024834|IMVANO NV|403800508|BEGONIASTRAAT|8||2160|WOMMELGEM|1
BE00025008|SUPERSHOP BV|403825846|RIJKMAKERLAAN|22 B||2910|ESSEN|1
BE00025776|L'UNION MUSICALE SRL|403987479|PETIT-SART|39||4990|LIERNEUX|1
BE00025865|KWP TRADING NV|404012819|KROKUSLAAN|24||2500|LIER|1
BE00025872|FIXMER BELGIUM NV|404014205|SIMON DE HEUVELLAAN|5||2110|WIJNEGEM|1
BE00026237|VOLLEBERGH NV|404116351|KROMSTRAAT|58||2520|RANST|1
BE00026784|BAEYENS NV|404284914|GROTESTEENWEG|81||2600|ANTWERPEN|1
BE00027237|LA RENOMMÉE CV|404437936|RUE BONNE ESPÉRANCE|25||4680|OUPEYE|1
BE00028045|THIERS-HORIZON NV|404667766|BRECHTSEBAAN|116||2900|SCHOTEN|1
BE00028507|UITGEVERIJ 'T PALLIETERKE NV|404788324|LAGESTEENWEG|5||1850|GRIMBERGEN|1
BE00029502|COLLUMBIEN BV|405099813|PATHOEKEWEG|5||8000|BRUGGE|1
BE00030004|ZILT ESTATE BV|405249964|XAVIER DE COCKLAAN|70||9831|SINT-MARTENS-LATEM|1
BE00030191|HYDRO VZW|405310045|JACOBSENSTRAAT|1||8400|OOSTENDE|1
BE00030815|DW HOLDING NV|405477816|DEERLIJKSEWEG|22||8790|WAREGEM|1
BE00030835|LE DOUX & MORTELMANS BV|405482863|PRESIDENT KENNEDYPARK|1A||8500|KORTRIJK|1
BE00030857|GRUSON AUTOBUS NV|405487120|DIKKEBUSSEWEG|186||8900|IEPER|1
BE00031666|ALL DION SA|405718435|CHAUSSÉE DE HUY|47||1325|CHAUMONT-GISTOUX|1
BE00032461|EUROPA CAMPING CARAVANING SA|405941337|ROUTE DE GEMBLOUX|180||5310|EGHEZÉE|1
BE00033703|POWER INDUSTRIAL MANUFACTURING ASSOCIATION NV|406229268|KLUIZENHOF|25||9170|SINT-GILLIS-WAAS|1
BE00035019|CONVODENT NV|406429802|HUBERT FRÈRE-ORBANLAAN|300||9000|GENT|1
BE00035340|PIROBOUW NV|406496712|BRECHTSEBAAN|114||2900|SCHOTEN|1
BE00036882|PATERS AUGUSTIJNEN VZW|406788405|PAKENSTRAAT|65||3001|LEUVEN|1
BE00037469|SIA ABRASIVES BELGIUM NV|406949048|Z. 5 MOLLEM|580||1730|ASSE|1
BE00037839|PHARMACIE LECLERCQ SRL|407049711|RUE CENTRALE|25||7063|SOIGNIES|1
BE00038135|VDK TRAVEL NV|407134041|PRINS BOUDEWIJNLAAN|7c||2550|KONTICH|1
BE00038663|ADVANCED POWER SOLUTIONS BELGIUM NV|407256676|NIEUWE GENTSESTEENWEG|21||1702|DILBEEK|1
BE00039052|VERENIGING BUREAU VERITAS - ASSOCIATION BUREAU VERITAS VZW|407573313|MECHELSESTEENWEG|128 - 136||2018|ANTWERPEN|1
BE00039876|HAND IN HAND VZW|407720791|ADVOCAAT DE BACKERSTRAAT|55||9450|HAALTERT|1
BE00039885|UNITED BRANDS ASSOCIATION ASBL|407722078|ESPLANADE|1||1020|BRUXELLES|1
BE00039962|ETABLISSEMENTS BAILLOT FRÈRES ET CIE SA|407733461|LIBRAMONT,RUE DES CHAMPS|15||6800|LIBRAMONT-CHEVIGNY|1
BE00040762|ENTREPRISE DE TRAVAIL ADAPTÉ 123 -  ATELIER PROTÉGÉ DE BEAURAING ASBL|407845903|RUE DE ROCHEFORT|201||5570|BEAURAING|1
BE00040918|ZUSTERS VAN MARIA VZW|407874211|CHARLES DEBERIOTSTRAAT|14||3000|LEUVEN|1
