CS_COMPANY_ID|BUSINESS_NAME|COMPANY_REGISTRATION_NUMBER|ADDRESS1|ADDRESS2|ADDRESS3|ADDRESS4|ADDRESS5|ADDRESS_TYPE
BE02516943|DUSAR, MICHAËL|838727722||||||1
BE01561809|VERLINDEN EN STOK NV|424306308|ONDERNEMERSSTRAAT|4||2500|LIER|1
BE01816726|DE MAERE, ANDRÉ|646245771||||||1
BE12705880|LAURENT, MILAN|757569901||||||1
BE13767143|MAQUET CONSTRUCT SRL|773813936|AVENUE DE PHILIPPEVILLE|151 / 21||6001|CHARLEROI|1
BE13767143|MAQUET CONSTRUCT|2321399842|Rue de Nalinnes|228||6001|Charleroi|0
BE14373068|OKER VOF|781529394|ROBERT MOLSSTRAAT|16||2018|ANTWERPEN|1
BE14373068|OKER|2327882214|Robert Molsstraat|16||2018|Antwerpen|0
BE13283481|YAMMYOU PELT BV|767506758|STATIONSSTRAAT|9 / 2||3910|PELT|1
BE13283481|YAMMYOU|2355757341|Hasseltsestraat|48||3290|Diest|0
BE05294530|STOFFELS, HANNA|687545304||||||1
BE05294530|Hanna Stoffels|2271321514|Am Giesebruch|15||4700|Eupen|0
BE15941713|JAYVEE BV|795171752|GLABBEEKSESTEENWEG|58||3390|TIELT-WINGE|1
BE15941713|Jayvee|2339425808|Driesstraat|48||3550|Heusden-Zolder|0
BE02035408|HOMAN, CLAUDIA|525598062||||||1
BE02035408||2074640849|Valkenbergstraat|24||9660|Brakel|0
BE14483893|SG GROUP SRL|783239762|AVENUE DE L'INDÉPENDANCE|55||4020|LIÈGE|1
BE14483893|SG GROUP|2329720165|Avenue de l'Indépendance|55||4020|Liège|0
BE15363928|MALNOURY, GAUTHIER|787261205||||||1
BE15363928|CPiG|2332114481|Sentier du Chafor|2||5030|Gembloux|0
BE14242892|BE ON SRL|780353221|ESPLANADE SIMONE VEIL|1||4000|LIÈGE|1
BE14242892|BE ON|2326451661|Esplanade Simone VEIL|1||4000|Liège|0
BE01513939|BELGIAN FINANCE COMPANY NV|402785669|JAN VAN RIJSWIJCKLAAN|184||2020|ANTWERPEN|1
BE06370950|REYNÉ, SHARON|702984338||||||1
BE06370950||2279139120|Gontrode Heirweg|58||9090|Melle|0
BE01468437|GOUWY, EVELYNE|832302164||||||1
