CS_COMPANY_ID|*|BUSINESS_NAME|*|COMPANY_REGISTRATION_NUMBER|*|FINANCIAL_YEAR|*|NUMBER_OF_WEEKS|*|CURRENCY|*|CONSOLIDATED_ACCOUNTS|*|REVENUE|*|OPERATING_COSTS|*|OPERATING_PROFIT|*|WAGES_AND_SALARIES|*|PENSION_COSTS|*|DEPRECIATION|*|AMORTISATION|*|FINANCIAL_INCOME|*|FINANCIAL_EXPENSES|*|EXTRAORDINARY_INCOME|*|EXTRAORDINARY_COSTS|*|PROFIT_BEFORE_TAX|*|TAX|*|PROFIT_AFTER_TAX|*|DIVIDENDS|*|MINORITY_INTERESTS|*|OTHER_APPROPRIATIONS|*|RETAINED_PROFIT
NL00001542|*|Johan van Driesum Beheer B.V.|*|01018864|*|31-12-2023|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL00002265|*|Gebroeders Wassenaar Holding B.V.|*|01026326|*|31-12-2023|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL00005450|*|Culterra Holland B.V.|*|01044343|*|31-08-2023|*|52|*|EUR|*|N|*||*||*|788929|*|1591400|*||*|288945|*||*||*||*|0|*|0|*|606498|*|130077|*|476421|*||*||*||*|476421
NL00007800|*|Beheermaatschappij C. Muizer B.V.|*|01051401|*|31-12-2023|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL00015879|*|H.M. Oenema Holding B.V.|*|01069990|*|31-12-2022|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL00016396|*|De Jong Export Marrum B.V.|*|01070917|*|31-12-2022|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL00018135|*|Houtbouw Merkus B.V.|*|01074294|*|31-12-2023|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL00018783|*|Josefine Wassenaar B.V.|*|01075510|*|31-12-2023|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL00018775|*|Marc Wassenaar B.V.|*|01075497|*|31-12-2023|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL00018776|*|Hetty Wassenaar B.V.|*|01075498|*|31-12-2023|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL01199539|*|Pdk Beveiligingen B.V.|*|24231502|*|31-12-2022|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL01953474|*|Perennial Investments B.V.|*|33148196|*|31-12-2022|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL01959593|*|Hendrikje Pensioen B.V.|*|33176631|*|31-12-2022|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL02346863|*|Wup Wegink Holding B.V.|*|37121427|*|31-12-2023|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL02967098|*|Pander Facilitair B.V.|*|53721942|*|31-12-2023|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL03340916|*|MB 2.0 N.V.|*|57096422|*|31-12-2023|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL03344303|*|Flantua Holding B.V.|*|57123632|*|31-12-2023|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL03345033|*|Jac. van 't Hart Nederland B.V.|*|57132348|*|31-12-2022|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL03346217|*|Robbert Klarenbeek Holding B.V.|*|57146284|*|31-12-2022|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL03350535|*|IGALLIC B.V.|*|57185727|*|31-12-2022|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL03350554|*|Freshu B.V.|*|57185956|*|31-12-2022|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL03353558|*|KAMER Consultancy en Beheer B.V.|*|57221774|*|31-12-2023|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL03359368|*|More Recruitment B.V.|*|57270155|*|31-12-2022|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL03360812|*|Daaneleep B.V.|*|57287236|*|31-12-2023|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL03370733|*|Housezzz.com B.V.|*|57390037|*|31-12-2022|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL03390437|*|Venus Light B.V.|*|57590230|*|31-12-2022|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL03390437|*|Venus Light B.V.|*|57590230|*|31-12-2023|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL04147118|*|BinkiGoemans B.V.|*|57662622|*|31-12-2023|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL03398689|*|FA Boulogne Beheer B.V.|*|57665664|*|31-12-2023|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL03400609|*|Zuider Zee Development B.V.|*|57688761|*|31-12-2022|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL03401312|*|Mooraroo B.V.|*|57697493|*|31-12-2022|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL03403866|*|Maasdijk Ontwikkeling B.V.|*|57715939|*|31-12-2023|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL03404812|*|Arnhem Spijkerlaan B.V.|*|57727430|*|31-12-2022|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL03405731|*|Aries Holding B.V.|*|57738408|*|31-12-2022|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL03406147|*|Van Heteren Beheer Sliedrecht B.V.|*|57743517|*|31-12-2023|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL03406705|*|711Rent Amsterdam B.V.|*|57750440|*|31-12-2022|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL03406723|*|AINV Lease B.V.|*|57750653|*|31-12-2022|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL03408626|*|Progam VIII B.V.|*|57759812|*|31-12-2023|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL03416561|*|Thowi B.V.|*|57843910|*|31-12-2023|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL03416593|*|Hoflaan Vastgoed B.V.|*|57844283|*|31-12-2023|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL03418702|*|De Lepper B.V.|*|57860882|*|31-12-2023|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL03420039|*|L.P.M. Pensioen B.V.|*|57876967|*|31-12-2023|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL03421390|*|J. Schouten Holding B.V.|*|57893136|*|31-12-2022|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL03425872|*|Muns' Stamrecht B.V.|*|57930295|*|31-12-2023|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL03426657|*|P.J.C. van Kemenade Holding B.V.|*|57939845|*|31-12-2023|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL03427683|*|Van der Kooij B.V.|*|57950636|*|31-12-2023|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL03431065|*|R4ICT B.V.|*|57974241|*|31-12-2023|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL03432997|*|R.M. Tiebie Holding B.V.|*|57997489|*|31-12-2022|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL03433288|*|SEnSus Advisory B.V.|*|58000909|*|31-12-2023|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL03433690|*|Securo Europe B.V.|*|58005633|*|31-12-2022|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL03433741|*|Simco Europe B.V.|*|58006249|*|31-12-2022|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL03434465|*|Mosgeo B.V.|*|58015086|*|31-12-2023|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL03440073|*|Mea Culpa Holding B.V.|*|58070923|*|31-12-2023|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL03444511|*|Klaverfrey Holding B.V.|*|58113916|*|31-12-2023|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL03445265|*|BreMar Holding B.V.|*|58122915|*|31-12-2023|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL03445917|*|DGH Postma B.V.|*|58130926|*|31-12-2023|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL03449756|*|Blue Five B.V.|*|58167870|*|31-12-2022|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL03452011|*|Brumapp B.V.|*|58186352|*|31-12-2022|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL03452026|*|De Appel B.V.|*|58186530|*|31-12-2022|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL03457498|*|N.S. van Deurzen B.V.|*|58247564|*|31-12-2022|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL03459421|*|WIJZIJNbouwmanagers B.V.|*|58269843|*|31-12-2023|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL03459949|*|M. Sommer Beheer B.V.|*|58276254|*|31-12-2023|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
NL03460380|*|De Haven Woonzorg B.V.|*|58281452|*|31-12-2023|*|52|*|EUR|*|N|*||*||*||*||*||*||*||*||*||*|0|*|0|*||*||*||*||*||*||*|
